state,name,party,legislature
Aguascalientes,Juan Antonio Martín del Campo,PAN,66
Aguascalientes,María de Jesús Díaz Marmolejo,PAN,66
Aguascalientes,Nora Ruvalcaba Gámez,MORENA,66
Baja California,Julieta Ramírez Padilla,MORENA,66
Baja California,Armando Ayala Robles,MORENA,66
Baja California,Gustavo Sánchez Vásquez,PAN,66
Baja California Sur,Lucía Trasviña Waldenrath,MORENA,66
Baja California Sur,Homero Davis Castro,MORENA,66
Baja California Sur,Susana Zatarain García,PAN,66
Campeche,María Martina Kantun Can,MORENA,66
Campeche,Aníbal Ostoa Ortega,MORENA,66
Campeche,Daniel Barreda Pavón2​3​,MC,66
Chiapas,Sasil de León Villard,MORENA,66
Chiapas,José Manuel Cruz Castellanos,MORENA,66
Chiapas,Luis Armando Melgar Bravo,PV,66
Chihuahua,Andrea Chávez Treviño,MORENA,66
Chihuahua,Juan Carlos Loera de la Rosa,MORENA,66
Chihuahua,Mario Vázquez Robles,PAN,66
Ciudad de México,Omar García Harfuch,MORENA,66
Ciudad de México,Ernestina Godoy Ramos,MORENA,66
Ciudad de México,Cynthia López Castro,PRI,66
Coahuila,Luis Fernando Salazar Fernández,MORENA,66
Coahuila,Cecilia Guadiana Mandujano,MORENA,66
Coahuila,Miguel Riquelme Solís,PRI,66
Colima,Virgilio Mendoza Amezcua,PV,66
Colima,Ana Karen Hernández Aceves,MORENA,66
Colima,Mely Romero Celis,PRI,66
Durango,Alejandro González Yáñez,PT,66
Durango,Margarita Valdéz Martínez,MORENA,66
Durango,Gina Campuzano González,PAN,66
Guanajuato,Ricardo Sheffield Padilla,MORENA,66
Guanajuato,Virginia Magaña Fonseca,,66
Guanajuato,Miguel Márquez Márquez,MORENA,66
Guerrero,Beatriz Mojica Morga,PAN,66
Guerrero,Félix Salgado Macedonio,MORENA,66
Guerrero,Manuel Añorve Baños,MORENA,66
Hidalgo,Simey Olvera Bautista,PRI,66
Hidalgo,Cuauhtémoc Ochoa Fernández,MORENA,66
Hidalgo,Carolina Viggiano Austria,MORENA,66
Jalisco,Carlos Lomelí Bolaños,PRI,66
Jalisco,Rocío Corona Nakamura,MORENA,66
Jalisco,Francisco Ramírez Acuña,PAN,66
México,Higinio Martínez Miranda,MORENA,66
México,Mariela Gutiérrez Escalante,MORENA,66
México,Enrique Vargas del Villar,PAN,66
Michoacán,Celeste Ascencio Ortega,MORENA,66
Michoacán,Raúl Morón Orozco,MORENA,66
Michoacán,Araceli Saucedo Reyes,PRD,66
Morelos,Víctor Mercado Salgado,MORENA,66
Morelos,Juanita Guerra Mena,MORENA,66
Morelos,Ángel García Yáñez,PRI,66
Nayarit,Jasmine Bugarín Rodríguez,MORENA,66
Nayarit,Pavel Jarero Velázquez,MORENA,66
Nayarit,Ivideliza Reyes Hernández,PAN,66
Nuevo León,Waldo Fernández González,MORENA,66
Nuevo León,Judith Díaz Delgado,MORENA,66
Nuevo León,Luis Donaldo Colosio Riojas,MC,66
Oaxaca,Antonino Morales Toledo,MORENA,66
Oaxaca,Luisa Cortés García,MORENA,66
Oaxaca,Laura Estrada Mauro,PV,66
Puebla,Ignacio Mier Velazco,MORENA,66
Puebla,Lizeth Sánchez García,PT,66
Puebla,Néstor Camarillo Ortega,PRI,66
Querétaro,Guadalupe Murguía Gutiérrez,PAN,66
Querétaro,Agustín Dorantes Lámbarri,PAN,66
Querétaro,Beatriz Robles Gutiérrez,MORENA,66
Quintana Roo,Anahí González Hernández,MORENA,66
Quintana Roo,Eugenio Segura Vázquez,MORENA,66
Quintana Roo,Mayuli Martínez Simón,PAN,66
San Luis Potosí,Ruth González Silva,PV,66
San Luis Potosí,Gilberto Hernández Villafuerte,PV,66
San Luis Potosí,Verónica Rodríguez Hernández,PAN,66
Sinaloa,Imelda Castro Castro,MORENA,66
Sinaloa,Enrique Inzunza Cázarez,MORENA,66
Sinaloa,Paloma Sánchez Ramos,PRI,66
Sonora,Lorenia Valles Sampedro,MORENA,66
Sonora,Heriberto Aguilar Castillo,MORENA,66
Sonora,Manlio Fabio Beltrones,PRI,66
Tabasco,Alejandra Arias Trevilla,MORENA,66
Tabasco,Rosalinda López Hernández,MORENA,66
Tabasco,Óscar Cantón Zetina,MORENA,66
Tabasco,José Sabino Herrera Dagdug,PRD,66
Tamaulipas,Olga Patricia Sosa Ruiz,MORENA,66
Tamaulipas,José Ramón Gómez Leal,MORENA,66
Tamaulipas,Imelda Sanmiguel Sánchez,PAN,66
Tlaxcala,José Antonio Álvarez Lima,MORENA,66
Tlaxcala,Ana Lilia Rivera Rivera,MORENA,66
Tlaxcala,Anabell Ávalos Zempoalteca,PRI,66
Veracruz,Claudia Tello Espinosa,MORENA,66
Veracruz,Manuel Huerta Ladrón de Guevara,MORENA,66
Veracruz,Miguel Ángel Yunes Márquez,PAN,66
Yucatán,Verónica Camino Farjat,MORENA,66
Yucatán,Jorge Carlos Ramírez Marín,PV,66
Yucatán,Rolando Zapata Bello,PRI,66
Zacatecas,Verónica Díaz Robles,MORENA,66
Zacatecas,Saúl Monreal Ávila,MORENA,66
Zacatecas,Claudia Anaya Mota,PRI,66